,instruction,output
124,User asked: 'I thought I would have received my new card at this point.',I'm here to help with that.
125,User asked: 'How long until my new card gets here?',I'm here to help with that.
126,User asked: 'How much longer until I get my new card?',I'm here to help with that.
127,User asked: 'Am I able to track a card that has already been sent?',I'm here to help with that.
128,User asked: 'Is it possible to track the card you sent me?',I'm here to help with that.
129,User asked: 'How long will it be to get this new card?',I'm here to help with that.
130,User asked: 'how can i track card you sent',I'm here to help with that.
131,User asked: 'Can the card was sen to me be tracked?',I'm here to help with that.
132,User asked: 'why have i not got my new card?',I'm here to help with that.
133,User asked: 'I need to track the card sent to me.',I'm here to help with that.
134,"User asked: 'It's been two weeks and I haven't gotten my card, what do I do?'",I'm here to help with that.
135,User asked: 'I was expecting my new card by now.',I'm here to help with that.
136,User asked: 'Where is the tracking number for the card?',I'm here to help with that.
137,User asked: 'I was issued a new card a week ago but still haven't received it. How long will it be until I receive it?',I'm here to help with that.
138,User asked: 'Can I track the card that you sent me in the mail?',I'm here to help with that.
139,User asked: 'Can you tell me if I can track the card you sent me?',I'm here to help with that.
140,User asked: 'Why have I not gotten my new card?',I'm here to help with that.
141,User asked: 'I'm still waiting on my new card to be delivered!',I'm here to help with that.
142,User asked: 'My new card isn't here and it was issued a week ago.',I'm here to help with that.
143,"User asked: 'I was supposed to receive my new card by now, but it hasn't came in.'",I'm here to help with that.
144,User asked: 'Is a tracking number available for the card that was just sent?',I'm here to help with that.
145,User asked: 'Why haven't I gotten my new card?',I'm here to help with that.
146,User asked: 'Was there a number to track that I could get?',I'm here to help with that.
147,User asked: 'How much longer is it going to take to get my new card?',I'm here to help with that.
148,User asked: 'I haven't gotten my credit card in the mail.',I'm here to help with that.
149,User asked: 'My card hasn't arrived yet. What do I do?',I'm here to help with that.
150,"User asked: 'My card still hasn't arrived after two weeks, now what?'",I'm here to help with that.
151,User asked: 'My card appears to have never arrived?',I'm here to help with that.
152,User asked: 'My card never arrived.',I'm here to help with that.
153,User asked: 'My card has been found. Is there any way for me to put it back into the app?',I'm here to help with that.
154,User asked: 'I was able to find my card. How to I go about putting it into my app?',I'm here to help with that.
155,User asked: 'how do I get my card to show in the app?',I'm here to help with that.
156,User asked: 'I just got my card.  It's not linked yet--how do I do that?',I'm here to help with that.
157,"User asked: 'lost card found, want to put it back in app'",I'm here to help with that.
158,"User asked: 'I just got a card, how can I add it to the app?'",I'm here to help with that.
159,User asked: 'Is there any way to see my card in the app?',I'm here to help with that.
160,User asked: 'If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it?',I'm here to help with that.
161,User asked: 'I found my card. How can I put it into my app?',I'm here to help with that.
162,User asked: 'How do I make my card show up in the app?',I'm here to help with that.
163,User asked: 'Can you show me where to link the new card?',I'm here to help with that.
164,User asked: 'I found my old card. Can I link it back into the app?',I'm here to help with that.
165,"User asked: 'Show me how to link the new card,'",I'm here to help with that.
166,User asked: 'How do I add an existing card to the app?',I'm here to help with that.
167,User asked: 'I finally got my card.  Now I want to link it.  Is that something you have to do or can I do that?',I'm here to help with that.
168,User asked: 'How do I link one of your card that I already have?',I'm here to help with that.
169,User asked: 'If I have a physical card can I link it?',I'm here to help with that.
170,User asked: 'I found my lost card in my jacket pocket this morning so I'd like to reactivate it please.',I'm here to help with that.
171,User asked: 'Can I add a card that I just found (again) to the app?',I'm here to help with that.
172,User asked: 'How can I make my card show up in the app?',I'm here to help with that.
173,"User asked: 'I would like to re-activate my card, it was previously reported  lost but I found it this morning.'",I'm here to help with that.
174,"User asked: 'Okay, I found my card, can I put it back in the app?'",I'm here to help with that.
175,User asked: 'Can I reactivate a card?',I'm here to help with that.
176,User asked: 'I would like to reactivate a card and wondered if that could be done?',I'm here to help with that.
177,"User asked: 'I got my card now, how do I make it show up in the app?'",I'm here to help with that.
178,User asked: 'How do I link an existing card?',I'm here to help with that.
179,User asked: 'How do I link a new card in the app?',I'm here to help with that.
180,"User asked: 'The card I thought was lost was just in my jacket, so can I reactivate it since I found it this morning?'",I'm here to help with that.
181,User asked: 'I already have a card and want to link it',I'm here to help with that.
182,User asked: 'Can you please reactivate my card?',I'm here to help with that.
183,User asked: 'Where do I go to add a new card?',I'm here to help with that.
184,User asked: 'I want my card I just received to show up in the app. How do I do that?',I'm here to help with that.
185,"User asked: 'I received my card, how do I get it to show in the app?'",I'm here to help with that.
186,User asked: 'If I have a credit card with you how I get set up to link to it?',I'm here to help with that.
187,User asked: 'How do I add my new card?',I'm here to help with that.
188,"User asked: 'I want to reactivate my card, I thought I had lost it but found it again this morning.'",I'm here to help with that.
189,"User asked: 'I need a card reactivation, I had reported my card lost but I ran across it in my jacket.'",I'm here to help with that.
190,User asked: 'My card is no longer lost. How do I enter it back into the app?',I'm here to help with that.
191,"User asked: 'I want to reactivate my card, I thought I had lost it but found it again in my jacket.'",I'm here to help with that.
192,"User asked: 'May I reactivate my card? I previously reported it lost, but have now found it safe and sound.'",I'm here to help with that.
193,User asked: 'How do I reactivate a card I thought I lost?',I'm here to help with that.
194,User asked: 'Help me figure out how to link the new card.',I'm here to help with that.
195,User asked: 'I found my lost card. Am I still able to use it?',I'm here to help with that.
196,User asked: 'Will I need a new card or can I put my old card back into the app?',I'm here to help with that.
197,User asked: 'Is there a way to link the card i just got?',I'm here to help with that.
198,User asked: 'How do I add a new card?',I'm here to help with that.
199,"User asked: 'I want to reactivate my card, I found it after thinking it was lost.'",I'm here to help with that.
200,User asked: 'Can I put my old card back in the app?',I'm here to help with that.
201,"User asked: 'I got a new card, how do I link it?'",I'm here to help with that.
202,User asked: 'I found the card I thought I lost this morning. Can I reactivate this card?',I'm here to help with that.
203,User asked: 'How do i go about linking a new card?',I'm here to help with that.
204,User asked: 'how do i get the card linked',I'm here to help with that.
205,"User asked: 'I have one of your cards, but I don't know how to link it.'",I'm here to help with that.
206,User asked: 'how do I link an old card?',I'm here to help with that.
207,User asked: 'I received my card. How do I link it to the app?',I'm here to help with that.
208,"User asked: 'Now that I have my card, how do I connect it to the app?'",I'm here to help with that.
209,User asked: 'How do I add the card I just received to show up in the app?',I'm here to help with that.
210,"User asked: 'I want to reactivate my card, I thought I had lost it but I found it.'",I'm here to help with that.
211,User asked: 'What do I need to do to link my new card for my account?',I'm here to help with that.
212,User asked: 'Can I add a card to back into the app?',I'm here to help with that.
213,User asked: 'I want to link my new card. Can you help?',I'm here to help with that.
214,User asked: 'What is the process to link the new card?',I'm here to help with that.
215,"User asked: 'I found my card, am I able to put it back into the app?'",I'm here to help with that.
216,"User asked: 'I have found my lost or stolen card, would I still have to activate the new card that was sent to me through the mail in order to access my account?'",I'm here to help with that.
217,User asked: 'Where can I link a new card?',I'm here to help with that.
218,User asked: 'How do I add a card on to the app?',I'm here to help with that.
219,"User asked: 'I found my card in my jacket this morning, so can I reactivate it?'",I'm here to help with that.
220,"User asked: 'I've obtained the card, how do I enable it on the app?'",I'm here to help with that.
221,User asked: 'I need to find the card I received in the app.',I'm here to help with that.
222,User asked: 'How do I get my card on the app?',I'm here to help with that.
223,"User asked: 'In the app, how can I make it show the new card that arrived?'",I'm here to help with that.
224,User asked: 'How do I link my new card?',I'm here to help with that.
225,User asked: 'Can I activate a card in the app?',I'm here to help with that.
226,"User asked: 'I want to link to my card card with you, how?'",I'm here to help with that.
227,User asked: 'I would like to link my card to my account.',I'm here to help with that.
228,"User asked: 'I thought I lost my card so I cancelled it, but recently I found it in my jacket and I would like to re-establish the card.'",I'm here to help with that.
229,User asked: 'How can I link the new card?',I'm here to help with that.
230,User asked: 'I got a new card and can't find where to link it.',I'm here to help with that.
231,"User asked: 'Hey, I have my card, how do I get it to show in the app?'",I'm here to help with that.
232,User asked: 'Where in the app do I go to make my new card show up?',I'm here to help with that.
233,User asked: 'Where do I scan my card?',I'm here to help with that.
234,User asked: 'Can I reactivate my card? I reported it lost and found it this morning in my jacket.',I'm here to help with that.
235,User asked: 'Can I link my card I previously received?',I'm here to help with that.
236,"User asked: 'I want to reactivate my card, I thought I had lost it but found it again in my jacket this morning.'",I'm here to help with that.
237,"User asked: 'I'd lke my card reactivated, I was thinking it was misplaced but I discovered when I woke up that I had left it in my coat.'",I'm here to help with that.
238,User asked: 'You sent me a card and now I want to link it.',I'm here to help with that.
239,User asked: 'How do I add my new card to the app?',I'm here to help with that.
240,User asked: 'Can I add a card back to the app?',I'm here to help with that.
241,User asked: 'What if I want to add a card I already have to the app?',I'm here to help with that.
242,"User asked: 'I recently reported my card as missing/lost, and I just found it. Can I still use it?'",I'm here to help with that.
243,"User asked: 'Could I reactivate my card please, I couldn't find it but it turns out it was in my jacket pocket.'",I'm here to help with that.
244,User asked: 'Is there a way to link cards if I have one of yours?',I'm here to help with that.
245,User asked: 'If my card was lost or stolen can I re-link it?',I'm here to help with that.
246,User asked: 'How do I link a new card to an existing one?',I'm here to help with that.
247,User asked: 'How do I link a new payment card?',I'm here to help with that.
248,User asked: 'I would like to reactivate my card that I previously reported lost. I located the card this morning.',I'm here to help with that.
249,"User asked: 'Card has been received, how will it show up on the app?'",I'm here to help with that.
250,User asked: 'Can I re-link a lost card with the app?',I'm here to help with that.
251,User asked: 'What do I do to link my new card?',I'm here to help with that.
252,User asked: 'Is it possible to link a new card?',I'm here to help with that.
253,User asked: 'I deactivated my card but would like to reactivate it.',I'm here to help with that.
254,"User asked: 'I found my card that I thought I had lost, I need to reactive it, please help.'",I'm here to help with that.
255,User asked: 'can I link a card of yours I already have?',I'm here to help with that.
256,User asked: 'Can I put my found card back into the app on my phone?',I'm here to help with that.
257,"User asked: 'My card arrived but I need to make it work in the app, how do I do that?'",I'm here to help with that.
258,"User asked: 'I found the card that I thought I lost, and I would like to reactivate it.'",I'm here to help with that.
259,User asked: 'I found my card again. Can I put it back into the app?',I'm here to help with that.
260,User asked: 'I need some help linking my new card.',I'm here to help with that.
261,User asked: 'help me link my card',I'm here to help with that.
262,User asked: 'How do I link my card in the app.',I'm here to help with that.
263,User asked: 'How do I get my card into the app?',I'm here to help with that.
264,User asked: 'I found my card! Can I link it back into the app?',I'm here to help with that.
265,User asked: 'How do I reactivate my card?',I'm here to help with that.
266,User asked: 'Where do I go to get my new card linked?',I'm here to help with that.
267,"User asked: 'I thought I lost my card but I found it today, so I would like to reactivate it.'",I'm here to help with that.
268,User asked: 'How do I link the new card that I just got from you guys?',I'm here to help with that.
269,User asked: 'How can I add a new card?',I'm here to help with that.
270,User asked: 'Can you tell me how to get my card on the app?',I'm here to help with that.
271,User asked: 'Is it possible to reactivate the card I thought I lost but found this morning in my jacket?',I'm here to help with that.
272,User asked: 'How do I make my card appear on the app?',I'm here to help with that.
273,User asked: 'How do I link the new card?',I'm here to help with that.
274,User asked: 'Where in the app do I link a new card?',I'm here to help with that.
275,User asked: 'How do I add my card to the app once I get it?',I'm here to help with that.
276,User asked: 'Can I link your physical card',I'm here to help with that.
277,User asked: 'How do I activate and link my new card?',I'm here to help with that.
278,"User asked: 'I got a card, how do I get it in the app?'",I'm here to help with that.
279,User asked: 'I received my new card.  Where is it in the app?',I'm here to help with that.
280,"User asked: 'I found my card, how can I use it again?'",I'm here to help with that.
281,"User asked: 'I just received a new card, where do I go to link it to my account?'",I'm here to help with that.
282,"User asked: 'found card, how to put it back in app'",I'm here to help with that.
283,User asked: 'How do I see my card in the app?',I'm here to help with that.
284,"User asked: 'The card I thought I lost was in my jacket pocket this morning, so can I reactivate that?'",I'm here to help with that.
285,User asked: 'I don't see my card anywhere in the app.',I'm here to help with that.
286,"User asked: 'I received my card, how do I get it to work in the app?'",I'm here to help with that.
287,User asked: 'What do I do if I already had a card with you guys?',I'm here to help with that.
288,User asked: 'if i found a lost card can i put it back in app',I'm here to help with that.
289,User asked: 'I have a card that was deactivated can I reactivate it?',I'm here to help with that.
290,"User asked: 'My new card isn't in my app, how do I get it in there?'",I'm here to help with that.
291,User asked: 'Help me access the card I already got so I can information from it.',I'm here to help with that.
292,User asked: 'What is my money worth in other countries?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
293,User asked: 'Will my money be of equal value when I travel abroad?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
294,User asked: 'Do you know the rate of exchange?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
295,User asked: 'What foreign exchange rate will I get on weekdays and on the weekends?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
296,User asked: 'What is the exchange looking like?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
297,User asked: 'How is the exchange rate doing?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
298,User asked: 'I would like to know how exchange rates are calculated when transferring funds.',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
299,User asked: 'I would like to know what exchange rates you use?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
300,"User asked: 'If I need to cash foreign transfers, how does that work?'",Our current forex rates are available in the app or at any branch. Rates are updated regularly.
301,User asked: 'Do you know what your exchange rates are?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
302,User asked: 'How do I know what exchange rate I will get?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
303,User asked: 'What are you exchange rates?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
304,User asked: 'Do you have the best exchange rate?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
305,User asked: 'Where can I find your exchange rates?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
306,User asked: 'Your exchange rates come from where?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
307,User asked: 'I need to know what your exchange rates are.',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
308,User asked: 'What's the process for exchanges?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
309,User asked: 'What do you think of the exchange rate?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
310,User asked: 'How are exchange rates calculated at this bank?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
311,User asked: 'What do you use to figure out the exchange rate for the card?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
312,User asked: 'What's the foreign exchange rate I will receive?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
313,User asked: 'I need to know what foreign exchange rate I can get.',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
314,User asked: 'What are the current exchange rates?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
315,User asked: 'What exchange rate will I receive?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
316,User asked: 'What is the basis of your exchange rates?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
317,User asked: 'How's the exchange rate?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
318,User asked: 'How do you determine your exchange rates?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
319,User asked: 'How do the foreign exchange rates work?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
320,User asked: 'Where are you getting your exchange rates from?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
321,User asked: 'How is the exchange rate calculated?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
322,User asked: 'I'm interested in what your exchange rates are based on.',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
323,User asked: 'How do you decide what the exchange rates are?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
324,User asked: 'What is the current exchange rate?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
325,User asked: 'What is the formula for your exchange rate?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
326,User asked: 'What method do you use for the exchange rate?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
327,User asked: 'What are Interbanks current exchange rates?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
328,User asked: 'from where are coming your exchange rates?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
329,User asked: 'How do you calculate exchange rates?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
330,User asked: 'Why is your exchange rate different on different days?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
331,User asked: 'Where can I find the exchange rate for my transfer?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
332,User asked: 'Where can I get your exchange rates from?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
333,User asked: 'How do you find the exchange rate?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
334,User asked: 'How are exchange rates determined?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
335,User asked: 'What value can I get for my currency?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
336,User asked: 'Please explain your exchange rate policy.',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
337,User asked: 'What are your exchange rates calculated from?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
338,User asked: 'What is an exchange rate?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
339,User asked: 'What is your opinion on the exchange rate?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
340,User asked: 'What are the exchange rates you assign?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
341,User asked: 'How do you determine exchange rates?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
342,User asked: 'How are your exchange rates calculated?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
343,User asked: 'How is an exchange rate calculated?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
344,"User asked: 'When exchanging, how much are the rates?'",Our current forex rates are available in the app or at any branch. Rates are updated regularly.
345,User asked: 'What is the exchange rate for EUR?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
346,User asked: 'How can I find your exchange rates?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
347,User asked: 'Could you please tell me your exchange rates?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
348,User asked: 'Is there an exchange rate?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
349,User asked: 'How does the exchange rate work?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
350,User asked: 'What is the present state of the exchange rate?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
351,User asked: 'How are foreign exchange rates determined?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
352,User asked: 'How's the exchange rate looking right now?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
353,User asked: 'Please explain the exchange rates.',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
354,User asked: 'What is the foreign exchange rate you will apply?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
355,User asked: 'explain the interbank exchange rate',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
356,User asked: 'What will my exchange rate be?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
357,User asked: 'how do you get exchange rates',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
358,User asked: 'What exchange rates do you use?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
359,User asked: 'How will I know what the exchange rate is?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
360,User asked: 'What factors effect the exchange rate?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
361,User asked: 'Where does the exchange rate stand right now?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
362,User asked: 'I'd like to know what the foreign exchange rate will be.',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
363,User asked: 'Does the exchange rate change?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
364,User asked: 'How do your exchange rates factor in?',Our current forex rates are available in the app or at any branch. Rates are updated regularly.
